pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,0.7117748,7.0,1.0,11.0,9.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0
1,0.7457246,3.0,1.0,5.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,0.76513,4.0,1.0,10.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0
1,0.8116148,5.0,1.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0
1,0.8496202,8.0,1.0,7.0,5.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
1,0.8545806,99.0,1.0,7.0,5.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0
1,0.8857209,2.0,1.0,4.0,3.0,3.0,,3.0,,,3.0,,2.0
1,0.9813389,99.0,1.0,7.0,5.0,4.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0
1,0.9831716,1.0,1.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,1.0,2.0
1,1.0058243,4.0,1.0,7.0,5.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,3.0
1,1.0154867,5.0,1.0,7.0,5.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0
1,1.0449791,99.0,1.0,7.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0
1,1.0449791,7.0,1.0,7.0,5.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,3.0
1,1.1143944,8.0,1.0,7.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0
1,1.1941143,1.0,1.0,4.0,3.0,2.0,4.0,4.0,1.0,3.0,4.0,1.0,2.0
1,1.2831533,6.0,2.0,,,4.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0
1,1.3562162,3.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0
1,1.377202,2.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,1.0,1.0
1,1.3874097,,1.0,,,,3.0,4.0,,2.0,1.0,3.0,2.0
1,1.3973941,99.0,3.0,,,,4.0,2.0,4.0,3.0,2.0,3.0,2.0
1,2.1563842,3.0,1.0,4.0,,4.0,4.0,,2.0,3.0,3.0,2.0,2.0
1,0.6775172,7.0,1.0,11.0,9.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,1.0
1,0.9013733,99.0,1.0,7.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,2.0,2.0
1,0.9832475,2.0,1.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0
1,1.014549,4.0,1.0,7.0,5.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0
1,1.7659425,7.0,1.0,13.0,12.0,1.0,2.0,,2.0,2.0,4.0,1.0,1.0
1,0.9325081,5.0,1.0,7.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0
1,1.3651968,0.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,1.0,1.0
1,0.5048305,3.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0
1,1.0015482,7.0,1.0,7.0,5.0,4.0,4.0,4.0,3.0,1.0,3.0,3.0,3.0
1,1.0819204,4.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0
1,1.2559338,3.0,1.0,4.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0
1,1.2931815,2.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0
1,1.6415545,6.0,3.0,,,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0
1,1.729452,1.0,1.0,,3.0,4.0,4.0,4.0,1.0,4.0,3.0,2.0,1.0
1,2.2352922,8.0,3.0,,5.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0
1,0.2189113,4.0,1.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0
1,0.3114573,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
1,0.4529466,2.0,1.0,6.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0
1,0.4590463,9.0,1.0,11.0,9.0,3.0,4.0,4.0,2.0,1.0,3.0,1.0,1.0
1,0.5162388,7.0,1.0,8.0,7.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
1,0.5270761,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0
1,0.5358641,8.0,1.0,8.0,7.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0
1,0.5745353,5.0,1.0,3.0,2.0,4.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0
1,0.5930405,0.0,1.0,6.0,3.0,4.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0
1,0.6218319,4.0,1.0,7.0,5.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,1.0
1,0.6316601,3.0,1.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0
1,0.6337792,4.0,1.0,7.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
1,0.6357808,4.0,1.0,6.0,5.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0
1,0.6470408,9.0,1.0,11.0,9.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0
1,0.6507631,2.0,1.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0
