pays,poids1,poids5,nou1,v0t1,t12022,q27_i2,q27_i22,q27_i32,q6v16_i4,q17v16,q27_i8,q27_i14,q27_i23,q9v16
1,1.3797557,1.5275841,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,5.0
1,1.055846,1.0437534,4.0,1.0,7.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,7.0
1,2.0753992,1.7298237,5.0,1.0,13.0,1.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,6.0
1,0.8626117,0.8786222,8.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,8.0
1,1.1041827,1.1200106,10.0,2.0,,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,9.0
1,0.5118497,0.4621541,6.0,1.0,8.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0
1,0.4629267,0.4635433,9.0,1.0,11.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,3.0,10.0
1,1.2853876,1.4272764,7.0,1.0,4.0,,4.0,2.0,2.0,3.0,4.0,1.0,2.0,9.0
1,1.9678177,1.7531875,2.0,1.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,8.0
1,0.9954857,0.9928774,6.0,1.0,7.0,2.0,4.0,4.0,3.0,2.0,1.0,2.0,4.0,0.0
1,0.8663234,0.8634615,7.0,1.0,9.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,8.0
1,1.055846,1.0437534,6.0,1.0,7.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,2.0,7.0
1,0.8493124,0.8500732,5.0,1.0,7.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,3.0,5.0
1,0.3692739,0.3315504,3.0,1.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,5.0
1,0.4791858,0.4706517,5.0,1.0,7.0,2.0,3.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0
1,0.7326574,0.7366623,7.0,1.0,11.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0
1,1.6619174,1.5040303,3.0,1.0,4.0,3.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,10.0
1,1.1741326,1.2122909,5.0,1.0,13.0,,4.0,,2.0,3.0,4.0,,2.0,8.0
1,1.2656516,1.1358516,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0
1,1.163151,1.2093693,99.0,1.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
1,0.7609761,0.8429834,5.0,1.0,12.0,1.0,1.0,4.0,1.0,2.0,4.0,2.0,1.0,6.0
1,1.5436192,1.699156,3.0,1.0,4.0,2.0,4.0,3.0,2.0,3.0,,4.0,,
1,1.0293145,1.019444,99.0,1.0,7.0,3.0,4.0,2.0,2.0,4.0,4.0,1.0,3.0,9.0
1,1.3759902,1.4153001,6.0,3.0,,2.0,3.0,1.0,3.0,3.0,2.0,1.0,2.0,7.0
1,1.074643,1.0924629,4.0,1.0,10.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,2.0,10.0
1,0.9971461,0.9374282,3.0,1.0,6.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,,4.0
1,2.0454297,1.7780489,6.0,1.0,10.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,1.0
1,1.7893778,1.7818092,4.0,1.0,7.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0
1,1.2412338,1.3377144,10.0,1.0,10.0,2.0,2.0,4.0,4.0,3.0,2.0,3.0,3.0,8.0
1,0.2517723,0.2827011,1.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,3.0,4.0,1.0,8.0
1,0.5252949,0.5644811,7.0,1.0,11.0,1.0,,1.0,1.0,3.0,3.0,1.0,4.0,6.0
1,1.1201365,1.1139948,5.0,1.0,7.0,1.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,7.0
1,0.4182973,0.3906725,4.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,5.0
1,1.0550275,1.0524791,9.0,1.0,11.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0
1,0.5382335,0.4994026,2.0,1.0,5.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,1.0,8.0
1,0.6877977,0.6880531,7.0,1.0,9.0,4.0,4.0,2.0,1.0,4.0,2.0,4.0,2.0,8.0
1,0.5146484,0.5153034,10.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,10.0
1,2.3423822,2.4056935,3.0,3.0,,1.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,7.0
1,0.9249409,0.8383327,6.0,1.0,8.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0
1,1.2479358,1.2421137,8.0,1.0,7.0,3.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,5.0
1,0.5134705,0.5932691,4.0,1.0,6.0,3.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0
1,1.1105807,1.1019552,6.0,1.0,7.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,
1,1.8531265,1.919911,5.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,8.0
1,1.1993096,1.2356277,99.0,1.0,13.0,3.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,
1,1.0985699,1.1068494,7.0,1.0,10.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,,3.0
1,0.4182973,0.3906725,6.0,1.0,5.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0
1,0.501669,0.4748401,4.0,1.0,6.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,2.0,7.0
1,0.6811305,0.759333,9.0,1.0,12.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,7.0
1,1.5947829,1.7464552,2.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,8.0
1,1.8578663,1.5581195,99.0,1.0,13.0,4.0,3.0,2.0,4.0,4.0,,3.0,,5.0
1,1.5885,1.5738786,5.0,1.0,7.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0
1,1.0697609,1.0667859,6.0,1.0,7.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0
1,0.846472,0.838892,5.0,1.0,11.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,8.0
1,0.5768207,0.5766114,99.0,1.0,11.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,7.0
1,2.4522088,2.485846,9.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0
1,1.1435118,1.1339004,7.0,1.0,7.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,4.0
1,0.2897494,0.2610907,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,7.0
1,0.796424,0.6992189,9.0,1.0,11.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,3.0
1,0.5146484,0.5153034,99.0,1.0,11.0,,,4.0,1.0,4.0,4.0,1.0,2.0,8.0
1,0.8463053,0.8432674,4.0,1.0,11.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
1,0.9078652,0.9035536,6.0,1.0,7.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,7.0
1,0.7567952,0.7574275,7.0,1.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0,9.0
1,0.9018376,0.8454378,3.0,1.0,6.0,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0
1,0.693823,0.6886505,3.0,1.0,7.0,1.0,4.0,2.0,1.0,3.0,3.0,2.0,1.0,6.0
1,0.9130973,0.9039498,3.0,1.0,7.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,2.0,5.0
1,1.0432199,1.0371687,8.0,1.0,7.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,7.0
1,1.8460919,1.9140743,99.0,1.0,13.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,7.0
1,0.7040191,0.8650085,8.0,1.0,7.0,3.0,4.0,,2.0,4.0,2.0,3.0,3.0,3.0
1,0.4165173,0.3759445,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,8.0
1,1.2559665,1.1764108,2.0,1.0,6.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,8.0
1,1.0309356,1.0187436,7.0,1.0,7.0,2.0,2.0,3.0,1.0,3.0,3.0,2.0,2.0,4.0
1,1.2635212,1.2821739,8.0,1.0,10.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,7.0
1,0.5489303,0.5476071,99.0,1.0,11.0,1.0,4.0,1.0,3.0,1.0,3.0,1.0,1.0,9.0
1,0.7214317,0.72425,10.0,1.0,11.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,8.0
1,0.7690094,0.6917953,6.0,1.0,8.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,8.0
1,1.3533087,1.4561661,10.0,1.0,10.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,7.0
1,1.1234627,1.0750347,5.0,1.0,,2.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,8.0
1,0.6526682,0.6517877,99.0,1.0,11.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,7.0
1,1.8485748,1.8674757,8.0,1.0,10.0,2.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,0.0
