Poids,Poids1,nou1,r36a,r36ab,ivt1_2,Q27_i2,q27_i22,q27_i18,n43_i4,n43_i6,qcb1_i3,q27_i8,q27_i17,q27_i14,q27_i23,q32
0.8356808,1.1052097,10,1,7,12,1,2,4,1,4,2,2,2,2,3,1
1.1431726,1.2452323,99,1,8,14,1,1,1,4,4,1,3,2,1,1,1
1.16631,0.9027439,99,1,5,8,3,4,2,3,3,4,3,4,4,4,3
0.760408,0.5838003,3,1,5,6,3,4,1,3,2,3,4,2,3,2,2
1.2722293,1.6514127,8,1,7,9,2,4,4,2,3,2,2,3,3,4,2
1.4116906,1.185431,6,1,9,11,1,4,4,2,4,1,1,2,1,2,2
1.1012502,1.4445208,6,1,7,9,2,3,2,2,3,2,2,3,2,4,1
0.7081205,0.8461682,9,3,14,11,1,1,4,1,4,1,1,1,2,1,1
0.6091499,0.8514841,8,1,7,9,2,4,3,2,2,3,2,3,2,2,3
1.0250423,0.8174632,5,1,5,8,3,4,1,3,2,1,2,2,1,3,2
1.3538861,1.0655153,3,1,5,14,3,2,2,3,2,2,3,2,2,1,1
1.2341771,1.5151387,99,3,14,15,5,4,1,4,1,4,4,1,4,1,1
0.837363,1.1113147,6,1,7,9,4,4,4,1,2,2,2,3,3,4,1
1.2006755,1.0063022,9,1,9,12,2,2,3,2,4,2,2,3,2,3,3
1.0153577,1.3371079,8,1,7,11,4,1,4,4,3,1,1,3,2,4,2
0.6803762,0.4811073,5,1,4,8,4,4,3,4,2,2,2,3,2,2,1
1.2256845,1.4450115,99,1,12,15,2,3,2,2,2,2,2,2,3,2,2
0.7118348,0.4763667,6,1,6,13,4,4,4,3,2,4,2,2,2,2,2
