cycle,section,label,official_url,status,size_mb,access_url
PISA 2009,SPSS Control Files,Syntax to read in parent questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_parent.txt,direct,0.09,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_parent.txt
PISA 2009,SPSS Control Files,Syntax to read in cognitive item response data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_cognitive_item.txt,direct,0.08,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_cognitive_item.txt
PISA 2009,SPSS Control Files,Syntax to read in scored cognitive item response data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_score_cognitive_item.txt,direct,0.03,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/sas-and-spss-control-files/PISA2009_SPSS_score_cognitive_item.txt
PISA 2009,Data sets in TXT format,Student questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/data-sets-in-txt-format/INT_STQ09_DEC11.zip,wayback,164.4,https://web.archive.org/web/2023id_/https://www.oecd.org/pisa/pisaproducts/INT_STQ09_DEC11.zip
PISA 2009,Data sets in TXT format,School questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/data-sets-in-txt-format/INT_SCQ09_Dec11.zip,wayback,1.76,https://web.archive.org/web/2023id_/https://www.oecd.org/pisa/pisaproducts/INT_SCQ09_Dec11.zip
PISA 2009,Data sets in TXT format,Parent questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/data-sets-in-txt-format/INT_PAR09_DEC11.zip,wayback,2.86,https://web.archive.org/web/2023id_/https://www.oecd.org/pisa/pisaproducts/INT_PAR09_DEC11.zip
PISA 2009,Data sets in TXT format,Cognitive item response data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/data-sets-in-txt-format/INT_COG09_TD_DEC11.zip,wayback,27.93,https://web.archive.org/web/2023id_/https://www.oecd.org/pisa/pisaproducts/INT_COG09_TD_DEC11.zip
PISA 2009,Data sets in TXT format,Scored cognitive item response data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/data-sets-in-txt-format/INT_COG09_S_DEC11.zip,wayback,13.17,https://web.archive.org/web/2023id_/https://www.oecd.org/pisa/pisaproducts/INT_COG09_S_DEC11.zip
PISA 2009 ERA,SAS Control Files,Syntax to read in student questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_student.txt,direct,0.14,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_student.txt
PISA 2009 ERA,SAS Control Files,Syntax to read in school questionnaire data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_school.txt,direct,0.09,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_school.txt
PISA 2009 ERA,SAS Control Files,Syntax to read in cognitive item response data file,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_cognitive_item.txt,direct,0.09,https://www.oecd.org/content/dam/oecd/en/data/datasets/pisa/pisa-2009-datasets/pisa-2009-era-datasets/sas-and-spss-control-files/PISA2009_SAS_ERA_cognitive_item.txt
